tag,content,label,depth
html body div header div h1 a  ,文創PLUS 臺南創意中心,0,7
html body div header div nav h2  ,Menu Navigation,0,7
html body div header div nav div a  ,中文,0,8
html body div header div nav div a  ,English,0,8
html body div header div nav a span  ,全站搜尋,0,8
html body div header div nav ul li a  ,中心簡介,0,9
html body div header div nav ul li a em  ,About Us,0,10
html body div header div nav ul li ul li a  ,文創PLUS,0,11
html body div header div nav ul li ul li a em  ,About Creative Tainan,0,12
html body div header div nav ul li ul li a  ,場館歷史,0,11
html body div header div nav ul li ul li a em  ,History Of The Building,0,12
html body div header div nav ul li ul li a  ,文創PLUS志工隊,0,11
html body div header div nav ul li ul li a  ,相關問題,0,11
html body div header div nav ul li ul li a em  ,Q & A,0,12
html body div header div nav ul li ul li a  ,場地申請,0,11
html body div header div nav ul li ul li a em  ,Venue application,0,12
html body div header div nav ul li a  ,最新消息,0,9
html body div header div nav ul li a em  ,News,0,10
html body div header div nav ul li ul li a  ,最新消息,0,11
html body div header div nav ul li ul li a em  ,News,0,12
html body div header div nav ul li ul li a  ,文創補助訊息,0,11
html body div header div nav ul li ul li a em  ,Subsidy,0,12
html body div header div nav ul li ul li a  ,文創政策法令,0,11
html body div header div nav ul li ul li a em  ,Policy Regulations,0,12
html body div header div nav ul li a  ,活動總覽,0,9
html body div header div nav ul li a em  ,Events,0,10
html body div header div nav ul li ul li a  ,講座/課程,0,11
html body div header div nav ul li ul li a  ,市集,0,11
html body div header div nav ul li ul li a  ,課程,0,11
html body div header div nav ul li ul li a  ,展演,0,11
html body div header div nav ul li ul li a  ,講座,0,11
html body div header div nav ul li a  ,文創刊物,0,9
html body div header div nav ul li a em  ,Curtural Innovation,0,10
html body div header div nav ul li a  ,文創資源,0,9
html body div header div nav ul li a em  ,Creative Industries Database,0,10
html body div header div nav ul li ul li a  ,政策法令,0,11
html body div header div nav ul li ul li a em  ,Policy & Decree,0,12
html body div header div nav ul li ul li a  ,輔導申請,0,11
html body div header div nav ul li ul li a em  ,Counseling Application,0,12
html body div header div nav ul li ul li a  ,臺南市文創政策資源輔導手冊下載,0,11
html body div header div nav ul li ul li a em  ,Tainan City Cultural Innovation Policy Resource Guide,0,12
html body div header div nav ul li ul li a  ,產業資源問題,0,11
html body div header div nav ul li ul li a em  ,Q & A About Industrial Resource Problem,0,12
html body div header div nav ul li ul li a  ,相關連結,0,11
html body div header div nav ul li ul li a em  ,Related links,0,12
html body div header div nav ul li ul li a  ,空間資源,0,11
html body div header div nav ul li ul li a em  ,Resources,0,12
html body div header div nav ul li ul li a  ,資金融通,0,11
html body div header div nav ul li ul li a em  ,Funds,0,12
html body div header div nav ul li ul li a  ,調查研究,0,11
html body div header div nav ul li ul li a em  ,Research,0,12
html body div header div nav ul li a  ,產業資料庫,0,9
html body div header div nav ul li a em  ,Industries Database,0,10
html body div header div nav ul li ul li a  ,申請加入產業資料庫,0,11
html body div header div nav ul li ul li a em  ,Plus Creative Tainan,0,12
html body div header div nav ul li ul li a  ,台南影視產業,0,11
html body div header div nav ul li ul li a em  ,Tainan Film and Television,0,12
html body div header div nav ul li ul li a  ,插畫設計,0,11
html body div header div nav ul li ul li a em  ,Illustration design,0,12
html body div header div nav ul li ul li a  ,創意食堂,0,11
html body div header div nav ul li ul li a em  ,Creative canteen,0,12
html body div header div nav ul li ul li a  ,文化資產應用及展演設施產業,0,11
html body div header div nav ul li ul li a em  ,Cultural asset application and exhibition facilities,0,12
html body div header div nav ul li ul li a  ,工藝產業,0,11
html body div header div nav ul li ul li a em  ,Craft industry,0,12
html body div header div nav ul li ul li a  ,電影產業,0,11
html body div header div nav ul li ul li a em  ,Movie industry,0,12
html body div header div nav ul li ul li a  ,廣播電視產業,0,11
html body div header div nav ul li ul li a em  ,Broadcasting,0,12
html body div header div nav ul li ul li a  ,出版產業,0,11
html body div header div nav ul li ul li a em  ,Publishing industry,0,12
html body div header div nav ul li ul li a  ,廣告產業,0,11
html body div header div nav ul li ul li a em  ,Advertising industry,0,12
html body div header div nav ul li ul li a  ,產品設計產業,0,11
html body div header div nav ul li ul li a em  ,product design,0,12
html body div header div nav ul li ul li a  ,視覺傳達設計產業,0,11
html body div header div nav ul li ul li a em  ,Visual communication design,0,12
html body div header div nav ul li ul li a  ,設計品牌時尚產業,0,11
html body div header div nav ul li ul li a em  ,Design brand fashion,0,12
html body div header div nav ul li ul li a  ,建築設計產業,0,11
html body div header div nav ul li ul li a em  ,Architectural design,0,12
html body div header div nav ul li ul li a  ,數位內容產業,0,11
html body div header div nav ul li ul li a em  ,Digital content,0,12
html body div header div nav ul li ul li a  ,創意生活產業,0,11
html body div header div nav ul li ul li a em  ,creative life,0,12
html body div header div nav ul li ul li a  ,流行音樂及文化內容產業,0,11
html body div header div nav ul li ul li a em  ,Pop music and cultural content,0,12
html body div header div nav ul li ul li a  ,視覺藝術產業,0,11
html body div header div nav ul li ul li a em  ,Visual art,0,12
html body div header div nav ul li ul li a  ,音樂及表演藝術產業,0,11
html body div header div nav ul li ul li a em  ,Music and performing arts,0,12
html body div header div nav ul li a  ,台南好設計,0,9
html body div header div nav ul li a em  ,Creative Product,0,10
html body div header div nav ul li ul li a  ,臺南設計獎,0,11
html body div header div nav ul li ul li a em  ,Tainan Design Award,0,12
html body div header div nav ul li ul li a  ,臺南十大創意商品,0,11
html body div header div nav ul li ul li a em  ,Tainan's top ten creative products,0,12
html body div header div nav ul li ul li a  ,蘭花文創設計,0,11
html body div header div nav ul li ul li a em  ,Orchid Wenchuang Design,0,12
html body div header div nav ul li ul li a  ,臺南織品設計,0,11
html body div header div nav ul li ul li a em  ,Tainan fabric design,0,12
html body div header div nav ul li a  ,"																			加入/登入文創PLUS",0,9
html body div header div nav ul li a em  ,PLUS Join / log in to Wenchuang PLUS,0,10
html body div header div nav ul li a  ,Facebook,0,9
html body div header div nav ul li a  ,Line@,0,9
html body div div div div ol a  ,回首頁,0,8
html body div div div div ol  ,>,0,7
html body div div div div ol a  ,活動總覽,0,8
html body div div div div ol  ,>,0,7
html body div div div div ol a  ,講座/課程,0,8
