tag,content,label,depth
html body header nav div div ul li a  ,品牌理念,0,9
html body header nav div div ul li a span  ,Brand,0,10
html body header nav div div ul li a  ,最新消息,0,9
html body header nav div div ul li a span  ,News,0,10
html body header nav div div ul li a  ,植人故事,0,9
html body header nav div div ul li a span  ,People,0,10
html body header nav div div ul li a  ,四季鮮果,0,9
html body header nav div div ul li a span  ,Feature,0,10
html body header nav div div ul li a  ,門市資訊,0,9
html body header nav div div ul li a span  ,Store,0,10
html body header nav div div ul li a  ,優格食譜,0,9
html body header nav div div ul li a span  ,Enjoying,0,10
html body header nav div div ul li a  ,網路商店,0,9
html body header nav div div ul li a span  ,Shop,0,10
html body header nav div div ul li ul li a div  ,嚴選優格,0,12
html body header nav div div ul li ul li a div  ,嚴選保健,0,12
html body header nav div div ul li ul li a div  ,嚴選果漿,0,12
html body header nav div div ul li ul li a div  ,嚴選燕麥,0,12
html body header nav div div ul li ul li a div  ,長期宅配,0,12
html body header nav div div ul li ul li a div  ,限時優惠,0,12
html body header nav div div ul li ul li a div  ,其他好物,0,12
html body header nav div div ul li a  ,優格週週配,0,9
html body header nav div div ul li a span  ,Subscription,0,10
html body header nav div div ul li a span  ,登入,0,10
html body header nav div div ul li a span span  ,Sign In,0,11
html body header div div span  ,MY CART,0,6
html body header div div div div  ,購物車空空的,0,7
html body header div div div div  ,快去逛逛吧,0,7
html body header div div div div a  ,上一頁,0,8
html body header div div div div a  ,下一頁,0,8
html body header div div div a  ,CHECK OUT 結帳,0,7
html body section div div a  ,首頁,0,6
html body section div div  ,/,0,5
html body section div div a  ,你好！日安,0,6
html body section div div  ,/,0,5
html body section div div span  ,最新消息,0,6
html body section div div div h1  ,專櫃/門市限定優惠！,1,7
html body section div div div h1 span  ,11 January 2022- 品牌快訊,1,8
html body section div div div h1 b  ,啟動健康第一餐-健康密碼,1,8
html body section div div div p  ,解鎖健康密碼，開啟好運一整年。,1,7
html body section div div div p  ,健康好運的密碼，就像天使數字一樣，蘊藏在你的日常生活中，,1,7
html body section div div div p  ,馬修嚴選將帶領您找到這些健康密碼，一同覺察自己的飲食，與健康同在。,1,7
html body section div div div p strong  ,參與活動方式：,1,8
html body section div div div p  ,門市限定，1/11-1/30止,1,7
html body section div div div p  ,會員單筆消費滿三張券或消費滿900元，即可獲得一組健康密碼。,1,7
html body section div div div p  ,已於門市獲得健康密碼者，歡迎加入LINE官方帳號，,1,7
html body section div div div p  ,查詢自己獲得的密碼並參與周周對獎:,1,7
html body section div div div p a  ,https://lin.ee/WXPS3dj,1,8
html body section div div div p strong  ,第一階段健康密碼揭曉時間:,1,8
html body section div div div p  ,1/11、1/18、1/25,1,7
html body section div div div p span  ,，,1,8
html body section div div div p  ,於FB/LINE官方帳號/門市，周周開出健康密碼，,1,7
html body section div div div p  ,中獎者可於2/28前至門市兌換獎項，每人每組號碼限兌領一次。,1,7
html body section div div div div  ,•中末1碼：鮮奶99元加購,1,7
html body section div div div div  ,•中末2碼： 960克優格買一送一,1,7
html body section div div div div  ,•中末3碼：會員點數200點,1,7
html body section div div div div  ,每組號碼每周皆可對獎，至活動結束仍沒有對中獎項的朋友，也有享有960克優格免補差額乙次的優惠喔!,1,7
html body section div div div p strong  ,第二階段抽出新年好禮時間:,1,8
html body section div div div p  ,過年期間，2/4、2/5、2/6，連三天將分別抽出優質好禮。,1,7
html body section div div div p  ,對中4碼者，可獲得五星級飯店雙人住宿券乙張,1,7
html body section div div div  ,share it,0,6
html body section div div div div h2  ,你可能也想知道,0,8
html body section div div div div h2 small  ,You May Also Like,0,9
html body section div div div div a div div h3  ,友善土地‧環保生活,0,11
html body section div div div div a div div p  ,空瓶回收募集中,0,11
html body section div div div div a div  ,23 December 2021- 永續環保,0,9
html body section div div div div a div div h3  ,G+優格 全新上市,0,11
html body section div div div div a div div p  ,獨家嗜熱鏈球菌GRX02株,0,11
html body section div div div div a div  ,21 August 2015- 品牌快訊,0,9
html body section div div div div a div div h3  ,馬修嚴選 10週年,0,11
html body section div div div div a div div p  ,十年發酵 始終如一,0,11
html body section div div div div a div  ,10 March 2020- 品牌公告,0,9
html body section div div div div div div div a div div h3  ,友善土地‧環保生活,0,14
html body section div div div div div div div a div div p  ,空瓶回收募集中,0,14
html body section div div div div div div div a div  ,23 December 2021- 永續環保,0,12
html body section div div div div div div div a div div h3  ,G+優格 全新上市,0,14
html body section div div div div div div div a div div p  ,獨家嗜熱鏈球菌GRX02株,0,14
html body section div div div div div div div a div  ,21 August 2015- 品牌快訊,0,12
html body section div div div div div div div a div div h3  ,馬修嚴選 10週年,0,14
html body section div div div div div div div a div div p  ,十年發酵 始終如一,0,14
html body section div div div div div div div a div  ,10 March 2020- 品牌公告,0,12
html body footer div nav a  ,常見問題,0,6
html body footer div nav a  ,聯絡我們,0,6
html body footer div nav a  ,門市資訊,0,6
html body footer div nav a  ,隱私條款,0,6
html body footer div nav a  ,友善大地行動,0,6
html body footer div div div  ,彩宸生活事業(股)有限公司,0,6
html body footer div div div  ,台南市永康區環工路3號,0,6
html body footer div div div  ,T. 06-201-0035,0,6
html body footer div div div a  ,E. ask@matthewschoice.com,0,7
html body div  ,Copyright © 2017 Matthew’s Choice Inc.,0,3
